X (longitude),Y (latitude),US postal code,Solar,Wind,Carbon free (includes biomass),Non-renewables,Total generation
-114.7309281,33.59475553,92225,49,0,0,537,586
-117.2313599,34.08206434,92374,28.22,0,0,1054,1082.22
-120.0646633,38.68659344,95647,0,0,0,11.35,11.35
-117.3404978,34.05405315,92324,0,0,0,151.62,151.62
-119.6676528,36.28610059,93230,24,0,0,92,116
-119.783141,36.13624851,93245,273.5,0,0,98,371.5
-117.1697182,33.73889535,92585,0,0,0,810,810
-121.1190452,38.33917928,95638,10.9,0,0,530,540.9
-122.1384591,38.07190219,94510,0,0,0,47.7,47.7
-116.9693944,32.79478704,92020,0,0,0,96.03,96.03
-117.2935176,33.9301881,92507,0,0,0,40,40
-121.7776579,38.01571117,94509,0,0,0,875.3,875.3
-117.4531638,33.96289747,92504,0,0,0,192,192
-117.6083022,33.89120193,92880,0,0,0,32.5,32.5
-117.9451644,34.00853834,91745,0,0,0,500.5,500.5
-116.8853156,34.24672955,92315,0,0,0,8.4,8.4
-121.7582054,38.01689595,95814,0,0,0,613.1,613.1
-117.1289836,32.81626374,92123,0,0,0,9.9,9.9
-117.111412,33.35918431,92059,0,0,0,100,100
-122.7233801,38.46662463,95403,0,0,0,1.4,1.4
-118.3059477,33.86082699,90248,0,0,0,1.38,1.38
-117.377378,34.16278053,92407,11.22,0,276.44,1.4,289.06
-120.5177748,40.40960755,96122,0,0,0,6,6
-117.530177,34.0876922,91739,0,1,0,49,50
-118.290126,33.87459976,90247,0,0,0,1,1
-118.4558297,34.15182563,91403,0,0,0,1.05,1.05
-118.3701501,34.09806859,90036,1.84,0,0,2.95,4.79
-120.7933485,39.23679083,95701,0,0,128,0,128
-120.5394721,38.07219018,95222,1.8,0,1.4,0,3.2
-117.1753234,33.05106773,92067,0,0,1.49,0,1.49
-117.0164411,33.16585413,92027,0,0,1.5,0,1.5
-120.0770571,38.20253939,95634,0,0,9.99,0,9.99
-118.3242373,37.14216675,93513,0,0,3.2,0,3.2
-118.5321951,37.3878904,93514,0,0,144.19,0,144.19
-121.1646822,39.36056309,95935,0,0,315.15,0,315.15
-121.0589162,39.00990614,95722,0,0,1.8,0,1.8
-118.6944312,34.67179205,91310,0,0,102.95,0,102.95
-120.3475609,38.17259135,95251,0,0,603.1,0,603.1
-120.8328039,38.20323244,95252,0,0,42.67,0,42.67
-119.0691256,34.21301948,93010,0,0,1,0,1
-118.6240478,34.2620378,91311,0,0,1.25,0,1.25
-120.5778974,38.81090514,95726,0,0,177.8,0,177.8
-120.8131577,38.77183136,95667,0,0,8.1,0,8.1
-122.1219075,40.40462968,96022,0,0,13,0,13
-118.0435666,36.44347412,93545,0,0,1.5,0,1.5
-122.0209791,40.57081686,96062,0,0,2,0,2
-119.9608675,37.88715154,95321,0,0,283.22,0,283.22
-118.282616,36.93951246,93526,0,0,0.6,0,0.6
-120.4448887,37.67221887,95329,0,0,211.6,0,211.6
-120.0921598,38.21630289,95364,0,0,88.2,0,88.2
-121.9513588,40.91722334,96065,0,0,630.6,0,630.6
-117.5412741,34.10048546,91730,2.75,0,23.9,0,26.65
-120.3042821,37.54321843,95369,0,0,107,0,107
-121.175009,38.65437497,95630,9.55,0,220.5,0,230.05
-117.3973148,34.1552856,92336,0,0,1.9,0,1.9
-118.4138037,34.10400045,90210,0,0,2,0,2
-120.5764186,39.03268284,95631,0,0,216.73,0,216.73
-117.956838,36.10995899,93549,0,0,6.4,0,6.4
-121.0778168,38.8939973,95603,0,0,39.6,0,39.6
-120.5892969,39.5657111,96125,0,0,10,0,10
-121.8832925,40.4330557,96059,0,0,26.1,0,26.1
-121.4145547,40.75760841,96016,0,0,1.1,0,1.1
-123.5800272,40.44810537,95526,0,0,3.5,0,3.5
-120.4340591,38.86129635,95725,0,0,235.7,0,235.7
-122.5484341,40.67992377,96003,1,0,1305.75,0,1306.75
-121.881975,40.67424188,96096,0,0,8,0,8
-117.4536748,33.85521903,92503,0,0,4.9,0,4.9
-120.3244907,38.98271616,95276,0,0,74.1,0,74.1
-119.1941545,37.99323573,93541,0,0,13,0,13
-117.4863389,34.23162839,92358,0,0,0.5,0,0.5
-121.2560346,40.97647958,96056,0,0,29.9,0,29.9
-121.4480484,40.80137784,96040,0,0,2,0,2
-117.061736,34.07974598,96061,0,0,4.05,0,4.05
-120.3056999,37.81287914,95347,0,0,102.9,0,102.9
-117.3500557,34.37113027,92345,1.5,0,32.76,0,34.26
-120.8832783,35.7985837,93426,0,0,4.36,0,4.36
-120.4464048,38.14711324,95247,0,0,3.6,0,3.6
-121.8697531,40.99239566,96011,0,0,1.2,0,1.2
-120.7736447,37.51684695,95376,0,0,325.2,0,325.2
-121.2920421,39.28082573,95918,0,0,48.1,0,48.1
-120.0007829,38.39160454,95379,0,0,6,0,6
-121.0957779,39.530001,95930,0,0,2,0,2
-114.1402794,34.29532651,92267,0,0,120,0,120
-117.1831922,33.83605617,92370,0,0,7.94,0,7.94
-120.3265735,38.03208263,95373,0,0,2,0,2
-123.127969,39.36181239,95469,0,0,9.3,0,9.3
-117.2768719,33.37999302,92028,2,0,5.9,0,7.9
-120.7546616,38.77376399,95709,0,0,270.08,0,270.08
-120.9221624,39.15619707,95713,0,0,57.5,0,57.5
-119.1233117,37.76702065,93529,0,0,8.4,0,8.4
-123.5090596,40.09412496,95495,0,0,4.95,0,4.95
-117.800412,34.12584979,91773,0,0,10.97,0,10.97
-117.8557096,34.20431596,91702,0,0,4.98,0,4.98
-117.124122,34.13184296,92346,1,0,6.3,0,7.3
-118.4253086,34.00888328,92220,0,0,0.94,0,0.94
-118.467299,34.07184457,90077,0,0,0.64,0,0.64
-118.5050105,34.69398204,90049,5.8,0,8.54,0,14.34
-117.5420057,34.12479209,92376,1.22,0,0.48,0,1.7
-122.4562005,40.97685893,96051,0,0,4.2,0,4.2
-122.9445563,38.70352576,95441,1,0,2.79,0,3.79
-120.1117083,38.18650927,95335,0,0,7,0,7
-120.1045384,39.47041393,95734,0,0,3.65,0,3.65
-121.9591716,40.53443287,96088,0,0,3.2,0,3.2
-123.523152,40.19984292,95595,0,0,1.3,0,1.3
-120.6049327,37.8761432,95370,0,0,30.6,0,30.6
-118.4168202,34.01131228,90230,0,0,10.12,0,10.12
-117.0706101,33.6810821,92576,0,0,29.7,0,29.7
-117.1137229,32.93699866,92129,0,0,4.65,0,4.65
-117.2698286,33.05596639,92024,0.1,0,0.74,0,0.84
-118.3908473,34.19449171,91605,0,0,1,0,1
-117.5835492,35.01809496,93516,172.6,0,0,42,214.6
-117.3348901,35.02407211,92347,434,0,0,0,434
-115.4580736,35.56458515,92364,691,0,0,0,691
-121.3540674,38.50518183,95829,0.2,0,0,0,0.2
-121.7295373,38.65994251,95695,1,0,0,0,1
-121.1668678,38.61159334,95670,6,0,0,0,6
-122.4834997,37.75089264,94121,4.5,0,0,0,4.5
-120.1151839,35.98824359,93204,60,0,0,0,60
-117.5115701,33.82780969,92881,1.5,0,0,0,1.5
-118.2766842,33.74740858,90731,1.1,0,0,0,1.1
-121.2949345,38.2917056,95632,36,0,0,0,36
-121.4182586,38.33742546,95757,47,0,0,0,47
-117.9943153,34.63925926,93550,23.5,0,0,0,23.5
-116.1033643,34.17529164,92277,27.5,0,0,0,27.5
-116.2812409,34.13291499,92252,28,0,0,0,28
-118.5790434,34.18420175,91371,6.47,0,0,0,6.47
-118.2240082,34.0272629,90023,2.25,0,0,0,2.25
-117.5167412,34.07854188,92335,17.2,0,0,0,17.2
-117.2639627,34.09386745,92408,8.76,0,0,0,8.76
-117.2229529,33.8389308,92571,10.2,0,0,0,10.2
-121.2123314,38.4462358,95693,15.5,0,0,0,15.5
-118.0489357,33.91229259,90670,9.65,0,0,0,9.65
-117.659064,33.96678487,91708,1.9,0,0,0,1.9
-117.4432061,34.55859437,92301,60.5,0,0,0,60.5
-117.8448271,34.00957979,91789,1.5,0,0,0,1.5
-118.3026267,34.71845566,93536,608.86,0,0,0,608.86
-116.3547416,33.29594908,92004,26,0,0,0,26
-119.5684057,36.12758033,93212,93.8,0,0,0,93.8
-115.4113701,33.81785208,92239,550,0,0,0,550
-114.7916772,33.66391994,92226,735,0,0,0,735
-121.4242272,41.03198615,96028,3,0,0,0,3
-121.3122579,36.80007967,95023,246.17,0,0,0,246.17
-116.866061,33.01586759,92065,12.4,0,0,0,12.4
-122.9958151,38.76933237,95425,2.5,0,0,0,2.5
-121.6934024,38.50157428,95616,5,0,0,0,5
-119.4710601,35.59258527,93280,23,0,0,0,23
-116.8641819,34.40268379,92356,30,0,0,0,30
-117.3427282,34.69075527,92368,20,0,0,0,20
-118.3831262,34.84358656,93560,1009.59,0,0,0,1009.59
-117.4967143,34.45549604,92371,17,0,0,0,17
-117.2573702,34.48012521,92395,1.25,0,0,0,1.25
-122.1030489,38.22765171,94534,6,3.1,0,0,9.1
-116.4548557,33.84397949,92234,1,20,0,0,21
-117.2212381,33.86600716,92551,1,0,0,0,1
-116.5745643,33.89771896,92262,1.02,108.68,0,0,109.7
-118.0179772,33.88169977,90638,1,0,0,0,1
-116.433681,33.82361532,92270,1,0,0,0,1
-118.1481027,34.04026077,91754,1,0,0,0,1
-118.6356933,35.0332057,93311,2.38,0,0,2,4.38
-118.5334708,35.16904956,93561,3.33,332.16,0,0,335.49
-116.9199511,32.59004746,92179,1,0,0,0,1
-117.5881468,33.89210017,92882,1,0,0,0,1
-119.3003394,36.00953401,,257.6,1273.37,0,0,1530.97
-117.0116214,32.78240408,92041,0.06,0,0,0,0.06
-117.2417304,32.89996228,92037,0.22,0,0,0,0.22
-117.2213388,33.14616289,92081,0.38,0,0,0,0.38
-117.1967699,32.74869657,92110,1.53,0,0,0,1.53
-117.5799478,33.39496521,92672,2.8,0,0,0,2.8
-117.2983014,33.21193539,92056,4.3,0,0,0,4.3
-121.506219,38.64273428,95834,1,0,0,0,1
-117.9426358,34.60849376,93591,19.5,0,0,0,19.5
-117.0150622,33.75527751,92545,21,0,0,0,21
-117.3871685,34.51070165,92392,6,0,0,0,6
-119.9478434,36.05438698,93239,20,0,0,0,20
-117.2836679,33.89647101,92505,1.5,0,0,0,1.5
-118.1032855,33.98226258,90660,0.9,0,0,0,0.9
-117.4102218,33.9735089,92522,7.5,0,0,0,7.5
-117.5421987,34.03628511,91752,4,0,0,0,4
-117.5191097,34.03895694,92337,1.19,0,0,0,1.19
-118.3103431,33.85764138,90501,0.98,0,0,0,0.98
-116.1976979,33.65357736,92256,3,0,0,0,3
-117.7822643,34.1074769,91750,2.99,0,0,0,2.99
-122.564745,38.14319791,94945,1,0,4,0,5
-117.9162832,34.51270751,93553,9.5,0,0,0,9.5
-117.1023903,34.90572929,92311,20,0,0,0,20
-118.2596377,34.67811398,93534,202,0,0,0,202
-117.0182827,33.24925524,92082,12.9,0,0,0,12.9
-116.8297306,34.86508187,92327,33.8,0,0,0,33.8
-116.1278843,32.62334135,91934,20,0,0,0,20
-118.2933688,34.71510505,92342,31.4,0,0,0,31.4
-117.088171,33.01090051,92127,1,0,0,0,1
-121.2832051,38.81413395,95765,1,0,0,0,1
-122.0719154,37.96689519,94523,2.2,0,0,0,2.2
-121.5610215,38.59150715,95605,1,0,0,0,1
-122.2789505,38.27261131,94558,1,0,0,0,1
-122.6803161,38.32336134,94928,2,0,0,0,2
-121.9647655,37.76808026,94583,1,0,0,0,1
-121.7890612,36.64775536,93955,1,0,0,0,1
-122.2487247,38.12594343,94589,1,0,0,0,1
-123.2235616,39.18625595,95482,1,0,0,0,1
-121.9132873,36.57972361,93940,1,0,0,0,1
-122.4565847,37.90744577,94105,12.7,0,0,0,12.7
-122.4008003,37.78932157,94015,1,0,0,0,1
-122.2769779,38.19092142,94503,1,0,0,0,1
-121.6471402,36.65942228,93901,1,0,0,0,1
-121.9645855,37.76593637,94582,1,0,0,0,1
-121.5340106,39.12512479,95901,1,0,0,0,1
-121.9408405,38.689363,95653,1,1,0,0,2
-121.3968977,38.50138727,95828,3.5,0,0,0,3.5
-121.2590694,38.56134555,95655,1,0,0,0,1
