X (longitude),Y (latitude),US postal code,Solar,Wind,Carbon free (includes biomass),Non-renewables,Total generation
-117.8293182,33.90001889,92686,0,0,4.1,0,4.1
-121.2040722,39.5539253,95919,0,0,59,0,59
-120.7190879,37.64338709,95386,0,0,0.6,0,0.6
-119.7071025,37.00247359,93626,0,0,7.3,0,7.3
-120.8553663,35.21166964,93424,0,0,2393,0,2393
-118.3379498,34.9343811,91770,110,0,0,0,110
-120.4056932,36.73890907,93640,71.6,0,0,0,71.6
-120.1496628,36.38524612,93624,130,0,0,0,130
-120.1230348,36.52391864,93627,20,0,0,0,20
-115.4973295,33.24995863,92257,43,0,0,0,43
-120.5681255,35.67120953,93446,1.14,0,0,0,1.14
-120.3573213,36.54609444,93608,384.3,0,0,0,384.3
-120.123555,36.15500469,93234,69,0,0,0,69
-119.859834,36.67532339,93706,2.5,0,0,0,2.5
-120.9909888,37.73626025,95356,25.5,0,0,0,25.5
-119.0553438,36.06370809,93257,9.77,0,0,0,9.77
-121.7315116,37.72131003,94551,5.3,46,0,0,51.3
-119.9936136,35.35997865,93453,840,0,0,0,840
-119.4465942,35.87922697,93201,149.8,0,0,0,149.8
-115.5806602,32.72267251,92249,157.2,0,142.5,0,299.7
-117.6543861,35.6352737,93555,11.12,0,0,0,11.12
-118.9869272,35.18296515,93313,32.41,0,0,0,32.41
-118.8878244,35.21497299,93203,23,0,0,0,23
-120.3850587,36.61553555,93668,19,0,0,0,19
-118.7240982,35.22354908,93307,140.32,0,0,0,140.32
-115.572213,33.15934949,92233,220.75,0,403.34,0,624.09
-119.1268787,35.450484,93263,20,0,0,0,20
-120.9540601,37.02748526,93635,22,18.43,0,0,40.43
-117.6299124,33.55637142,92694,0.05,0,0,0,0.05
-120.4604808,37.29941589,95340,4,0,0,0,4
-120.6485505,37.05827946,93620,1.5,0,0,0,1.5
-115.6575798,32.66579823,92273,148.7,0,0,0,148.7
-121.1313854,37.39156725,95360,20,0,0,0,20
-119.2139134,36.31838439,93233,7.5,0,0,0,7.5
-119.238482,35.13024508,93628,20,0,0,0,20
-118.4630164,34.8375109,94560,175,0,0,0,175
-118.0520678,35.25069346,93519,515.5,135,0,0,650.5
-119.6385296,35.41623784,93200,20,0,0,0,20
-119.0550747,35.84944629,93218,75,0,0,0,75
-117.56822,34.03919532,91798,3,0,0,0,3
-119.1283376,36.26630282,93221,3.5,0,0,0,3.5
-119.1340122,36.21178323,93247,4,0,0,0,4
-117.9213122,33.80041493,92802,2.4,0,0,0,2.4
-117.3342191,33.97277865,92508,2.98,0,0,0,2.98
-118.2098001,33.829148,90810,1.02,0,0,0,1.02
-117.1942664,33.55297942,92562,1.09,0,0,0,1.09
-117.1163743,33.50301258,92592,1.11,0,0,0,1.11
-119.3486693,36.30600097,93277,1.04,0,0,0,1.04
-120.54846,35.8228938,93451,131,0,0,0,131
-119.4122051,36.53913123,93618,2,0,0,0,2
-122.0842731,37.42194936,94043,2,0,0,0,2
-121.8518088,39.55097107,95958,1,0,0,0,1
-119.6931183,36.77016101,93727,2,0,0,0,2
-122.9191071,39.10666352,95453,1,0,0,0,1
-121.1701287,37.88391105,95422,2,0,0,0,2
-121.8622878,39.71011825,95928,1,0,0,0,1
-119.7416577,36.81016263,93710,1,0,0,0,1
-121.6394301,39.21994962,95953,1,0,0,0,1
-119.5233663,36.61173994,93648,1,0,0,0,1
-120.8126893,37.37693078,95334,1,0,0,0,1
-119.29687,36.340343,93292,1,0,0,0,1
-121.6353957,37.14907123,95037,1,0,0,0,1
-122.161137,37.79089101,94619,1,0,0,0,1
-121.8995221,37.35067214,95112,4.5,0,0,0,4.5
-122.0128414,37.26429986,95070,1,0,0,0,1
-122.1445746,37.71149331,94578,1,0,0,0,1
-122.0044859,37.38002534,78724,1,0,0,0,1
-120.7229658,35.32130165,93405,1,0,0,0,1
-121.9807002,37.41137555,95110,1,0,0,0,1
-122.1596575,40.1060718,96080,1,1,0,0,2
-122.12515,40.10100189,96055,1,0,0,0,1
-120.6005091,37.36028069,95301,1,0,0,0,1
-121.9220305,37.38085358,95131,3.1,0,0,0,3.1
-122.0094663,37.59217501,94587,1.1,0,0,0,1.1
-119.0393102,35.4029466,93302,1.1,0,0,0,1.1
-121.8591571,37.36623538,95133,1.2,0,0,0,1.2
-121.9626491,37.50467207,94538,1.3,0,0,0,1.3
-121.9270903,37.70629227,94588,1.3,0,0,0,1.3
-119.8462329,36.83864016,93711,1.4,0,0,0,1.4
-121.765938,37.303925,95135,1.4,0,0,0,1.4
-122.1531465,37.66499632,94580,1.5,0,0,0,1.5
-122.1275266,37.36342191,94022,3.3,0,0,0,3.3
-119.7116523,36.83912541,93611,2.2,0,0,0,2.2
-119.7100774,36.76765915,93737,2.3,0,0,0,2.3
-121.9992158,37.38657578,94088,3,0,0,0,3
-122.0055605,37.37748445,94085,3,0,0,0,3
-121.3567347,37.61665369,95304,0,1.5,0,0,1.5
-116.0493859,32.75979594,92259,0,265.44,0,0,265.44
-118.1804757,35.3502891,93283,0,162,0,0,162
